species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Myotis formosus,1,2,buildlings,10.5141/jefb.2009.32.3.191,https://library-archives.canada.ca/eng/services/services-libraries/theses/Pages/item.aspx?idNumber=707816459,,yes,"307, 308","2009, 2008",synonym for M. flavus,
Myotis fortidens,1,0,"tunnels, abandoned constructions, and thatched roofs",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis frater,1,4,bat boxes and tunnels,https://www.iucnredlist.org/species/85566806/22056940,,,yes,309,2021,,
Myotis gomantongensis,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,limestone cave systems,
Myotis goudoti,0,5,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis grisescens,1,9,mines and buildings,https://doi.org/10.2307/3504084,,,yes,310,1995,,
Myotis hajastanicus,1,1,NA,https://doi.org/10.1016/j.mambio.2016.06.005,,,yes,311,2016,synonym of M. aurascens ,
Myotis handleyi,NA,0,,,,,yes,,,"Few search results, none that spefically mention roosting for this species specifically",
Myotis hasseltii,1,0,"abandoned building, meter box",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis hermani,NA,0,,,,,yes,,,IUCN states that this is a poorly known bat species and listed as data deficient,
Myotis horsfieldii,1,3,"tunnels, bridges, and crevices in old buildings, and between wooden beams",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis ikonnikovi,1,4,"houses, under bridges, farm roofs",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,metions that they use houses to breed,
Myotis insularum,NA,0,NA,,,,yes,NA,NA,"leaving as NA, no roosting information found, IUCN states that nothing is known about this species.",
Myotis izecksohni,1,0,Abandoned church,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis keaysi,1,2,buildings and roofs of buildings,https://doi.org/10.1644/785.1,,,yes,212,2005,,
Myotis keenii,1,3,bridges and house attics,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis laniger,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis lavali,0,3,NA,https://doi.org/10.1093/mspecies/seac003,,,yes,213,2022,,
Myotis leibii,1,2,expansion joints of bridges,"Harvey 2011, pg 166",,,yes,96,2011,,
Myotis levis,1,5,attic of chapel,https://doi.org/10.1002/jmor.20175,,,yes,214,2013,,
Myotis longipes,1,0,"old disused buildings, tunnels, undergound canals",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis lucifugus,1,381,"mines, attics of buildings","Harvey 2011, pg 1668",,,yes,96,2011,,
Myotis macrodactylus,1,12,"abandoned mine, tunnels, bomb shelters",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis macropus,1,2,"mines, tunnels, road culverts, storm drains",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis macrotarsus,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis martiniquensis,1,0,concrete bridge,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,IUCN only states that they can be found in anthropogenic habitats but the source is essentially word of mouth,
Myotis melanorhinus,1,0,barns,"Harvey 2011, pg 170",,,yes,96,2011,,
Myotis midastactus,1,1,thatched roof,https://doi.org/10.1644/14-MAMM-149,,,yes,315,2014,,
Myotis moluccarum,1,0,"tunnels, mines, bridges",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis montivagus,NA,1,,,,,yes,NA,NA,"leaving as NA, data deficient and IUCN mentions recorded in agriculture landscapes but roosting sites not described",
Myotis morrisi,NA,0,NA,,,,yes,NA,NA,only known from two specimines,
Myotis muricola,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis myotis,1,224,"churches, loft spaces, and castles",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis mystacinus,1,20,"buildings, bird and bat boxes",https://doi.org/10.1016/j.mambio.2012.06.007,,,yes,316,2013,,
Myotis nattereri,1,49,"buildings, bird and bat boxes",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis nesopolus,0,1,NA,https://doi-org.ezproxy.lib.utexas.edu/10.3161/15081109ACC2021.23.2.015,,,yes,317,2022,cave roosting,
Myotis nigricans,1,30,"buidings, mines",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis nipalensis,1,0,cracks in buildings and old mines,https://www.iucnredlist.org/species/136495/21976309,,,yes,318,2018,,
Myotis occultus,1,1,"bridges, attics, and mines","Harvey 2011, pg 172-173",,,yes,96,2011,,
Myotis oreias,NA,0,,,,,yes,NA,NA,"data deficient, roosting ecology not known, 2005 article suggests may be extinct?",
Myotis oxyotus,0,2,NA,https://www.iucnredlist.org/species/14187/22067211,,,yes,319,2018,tree hollows,
Myotis peninsularis,1,0,"tunnels, sewers, abandoned buildings, and palm roofs of houses.",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis pequinius,1,4,dwellings and temples,https://doi.org/10.3161/150811006779398690,,,yes,320,2006,,
Myotis petax,1,8,"under bridges, mine tunnels, cellars, wells, attics, and steeples",https://www.iucnredlist.org/species/85342726/85342734,,,yes,321,2020,,
Myotis phanluongi,NA,0,,,,,yes,NA,NA,leaving as NA very understudied,
Myotis pilosus,0,2,NA,https://doi-org.ezproxy.lib.utexas.edu/10.1111/mec.15127,http://doi.org/10.5281/zenodo.6397752,,yes,"322, 154","2019, 2019",cave roosting,
Myotis planiceps,0,0,NA,https://doi.org/10.1093/jmammal/gyaa092,,,yes,323,2020,"ecology not well known, presumed to be crevice roosing, cited paper mentions summer roosts to be Yucca",
Myotis pruinosus,0,2,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,forests and caves,
Myotis punicus,1,2,"WW2 shelter, tunnel",https://www.um.edu.mt/library/oar/handle/123456789/98317,https://www.researchgate.net/publication/267818120,,yes,"325, 326","2007, 2010",Historical location ,
Myotis ridleyi,1,0,under house,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis riparius,1,7,under roof,https://doi.org/10.1093/mspecies/sex011,,,yes,327,2017,,
Myotis rosseti,1,0,house roofs,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis ruber,1,2,houe roofs,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis rufopictus,1,0,recorded in room of building,https://doi.org/10.3390/d11090148,,,yes,328,2019,,
Myotis schaubi,1,0,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis scotti,NA,0,,,,,yes,NA,NA,"few search results, no roosting information ",
Myotis secundus,1,0,tunnels,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis septentrionalis,1,21,"buildings, mines",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis sicarius,NA,0,,,,,yes,NA,NA,"few search results, no roosting information ",
Myotis siligorensis,1,2,crevices in old buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis simus,1,2,thatched roofs of houses,https://doi.org/10.1644/892.1,,,yes,329,2012,,
Myotis sodalis,1,18,buildings and bridges,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis soror,NA,0,,,,,yes,NA,NA,no roosting search results IUCN lists as data deficient and states that no roosts have been recorded so far.,
Myotis stalkeri,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,cave dwelling,
Myotis thysanodes,1,9,mines and buildings,"Harvey 2011, pg 178",,,yes,96,2011,,
Myotis tricolor,1,3,abandoned mines,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis velifer,0,27,old buildings and under bridges,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis vivesi,1,9,NA,https://doi.org/10.2307/3504455,,,yes,330,1998,caves and rock crevices,
Myotis volans,1,8,"buildings, mines",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis welwitschii,1,0,factories and houses,https://doi.org/10.1644/0.701.1,,,yes,331,2002,,
Myotis yanbarensis,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Myotis yumanensis,1,9,"buildings, mines, underbridges","Harvey 2011, pg 184",,,yes,96,2011,tree-hollow dwelling,
Mystacina robusta,0,0,NA,https://www.iucnredlist.org/species/14260/22070387#assessment-information,,,yes,331,2021,caves,possibly extinct
Mystacina tuberculata,0,18,NA,https://doi.org/10.1644/790.1,,,yes,333,2006,,
Myzopoda aurita,0,1,NA,https://doi.org/10.3161/15081109ACC2015.17.1.008,,,yes,334,2015,,
Myzopoda schliemanni,0,0,NA,https://www.academia.edu/9874665/THE_FIRST_OBSERVATION_OF_MYZOPODA_SP_MYZOPODIDAE_ROOSTING_IN_WESTERN_MADAGASCAR,https://doi.org/10.1111/j.1095-8312.2009.01362.x,,yes,"335, 336","2006, 2010","found in cave, also presumed to roost in palms of madagascar",
Nanonycteris veldkampii,0,1,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,potentially barbet and woodpecker holes,
Natalus espiritosantensis,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,caves,
Natalus jamaicensis,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,,
Natalus lanatus,1,0,mine,https://doi.org/10.1644/1545-1542(2005)86[1109:ANSOFB]2.0.CO;2,,,yes,337,2005,,
Natalus major,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,"tree hollow, caves",
Natalus mexicanus,1,1,mine,https://doi.org/10.1093/mspecies/seaa002,,,yes,338,2020,,
Natalus primus,0,0,NA,https://doi.org/10.1206/636.1,,,yes,78,2011,cave roosting,
Natalus saturatus,NA,0,,,,,yes,,,"few search results, no roosting information ",
Natalus stramineus,1,4,brick tunnel,https://doi.org/10.1206/636.1,,,yes,78,2011,cave roosting,
Natalus tumidirostris,1,2,mines,https://doi.org/10.1206/636.1,,,yes,78,2011,described as completely cave dependent,
Neonycteris pusilla,NA,0,,,,,yes,NA,NA,"few search results, no roosting information according to IUCN",
Neopteryx frosti,NA,0,,,,,yes,NA,NA,"few search results, very few individuals caught by mist net but no roosting sites ",
Neoromicia brunnea,1,0,roofs of unused houses,https://portals.iucn.org/library/efiles/documents/2023-005-En.pdf,,,yes,339,2023,suspected to roost in roofs,
Neoromicia capensis,1,5,"between cracks in walls, under the roofs of houses ",https://doi.org/10.1111/1365-2435.13918,http://doi.org/10.5281/zenodo.6397752,,yes,"86, 154","2022, 2019",,
Neoromicia flavescens,NA,0,,,,,yes,NA,NA,"few search results, no roosting information found only habitat areas where mist netting occurs",
Neoromicia guineensis,NA,0,,,,,yes,NA,NA,"few search results, no roosting information found only habitat areas where mist netting occurs",
Neoromicia helios,NA,0,,,,,yes,NA,NA,"few search results, no ecology or life history availible. Data defificent and often mistaken as N. nana according to IUCN",
Neoromicia malagasyensis,NA,0,,,,,yes,NA,NA,"few search results, IUCN states roosting ecology has yet to be described.",
Neoromicia matroka,1,1,buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Neoromicia melckorum,1,0,under roofs of buildings,https://www.iucnredlist.org/species/44922/22047486,,,yes,340,2019,,
Neoromicia nana,1,5,roofs and in thatch of rural huts,https://doi.org/10.1644/784.1,,,yes,341,2005,synonym of pipistrellus nanus,
Neoromicia rendalli,1,1,"thatched huts, brick walls and rafters",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Neoromicia robertsi,NA,0,,,,,yes,NA,NA,mentions capture in human altered habitat but no specfic structures/roost sites,
Neoromicia roseveari,NA,0,,,,,yes,NA,NA,only 6 specimines caught by mist net over streams. No roosting infomation,
Neoromicia somalica,1,0,houses,https://www.iucnredlist.org/species/44925/22046866,,,yes,342,2017,"suspected to roost in houses however, this has not been confirmed",
Neoromicia tenuipinnis,1,0,"roofs, eaves of houses and small crevices in houses",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Neoromicia zuluensis,NA,0,,,,,yes,NA,NA,roosting locations unknown,
Noctilio albiventris,1,22,"man-made structures, buildings, installations associated with a Naval Base, bridge over marsh",http://www.faunaparaguay.com/mamm22Noctilioalbiventris.pdf,,,yes,343,2008,Document by Paul Smith 2008 mentions specific structures,
Noctilio leporinus,1,20,bridges,http://doi.org/10.5281/zenodo.6606979,,,yes,344,2019,,
Notopteris macdonaldi,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,described as an obligate cave dweller,
Notopteris neocaledonica,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,also described as cave obligate,
Nyctalus aviator,1,2,"buildings and bird boxes, slits above railway",https://doi.org/10.1644/12-MAMM-A-172.1,http://doi.org/10.5281/zenodo.6397752,,yes,"345, 154","2013, 2019",,
Nyctalus azoreum,1,3,"buidlings, houses",http://doi.org/10.5281/zenodo.6397752,https://www.semanticscholar.org/paper/PRELIMINARY-DATA-ABOUT-THE-BREEDING-CYCLE-AND-OF-(-Leonardo-Medeiros/dca2f75f6c753133e1fd44f0268f46459c7a564f,,yes,"154, 346","2019, 2011",second ref mentions location of 3 roosting locations on houses,
Nyctalus furvus,1,0,building,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Nyctalus lasiopterus,1,10,"bat-boxes, buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Nyctalus leisleri,1,13,"bat-boxes, buildings",http://acta-zoologica-bulgarica.eu/older-articles/002466.pdf,http://doi.org/10.5281/zenodo.6397752,,yes,"347, 154","2021, 2019",,
Nyctalus montanus,1,0,roof of bungalow,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,"rock cliffs, rock crevices, overhanging vegetation",
Nyctalus noctula,1,66,"buildings, bat-boxes, church steeple, attics",https://doi.org/10.1093/jue/juab033,https://www.academia.edu/9533322/Winter_activity_and_roosts_of_the_noctule_Nyctalus_noctula_in_an_urban_area_Central_Slovakia_,http://doi.org/10.5281/zenodo.6397752,yes,"348, 349, 154","2021, 2005, 2019",third paper also includes church steeple and attics.,
Nyctalus plancyi,1,9,"old temples, under roof tiles, various parts of buildings",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Nycteris arge,1,0,culverts,http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 102",,yes,"154, 1","2019, 1994",,
Nycteris aurita,NA,0,,,,,yes,NA,NA,"few search results, no roosting information found only habitat descriptions with no structures ",
Nycteris gambiensis,1,0,roofs and cellars of buildings,https://doi.org/10.3161/15081109ACC2015.17.2.003,"Nowak 1994, pg 102",,yes,"350, 1","2015, 1994",,
Nycteris grandis,1,1,"houses, disused water tower, culverts",https://doi.org/10.2307/0.632.1,"Nowak 1994, pg 102",,yes,"351, 1","2000, 1994",,
Nycteris hispida,1,3,roofs and empty rooms of buildings,http://doi.org/10.5281/zenodo.6576920,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994",,
Nycteris intermedia,1,0,abandoned house,http://doi.org/10.5281/zenodo.6576920,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994",hollow trees,
Nycteris javanica,1,1,culverts,https://www.iucnredlist.org/species/14932/22013241,"Nowak 1994, pg 102",,yes,"353, 1","2017, 1994",,
Nycteris macrotis,1,1,thatched house roofs,http://doi.org/10.5281/zenodo.6576920,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994",,
Nycteris madagascariensis,NA,0,,,,,yes,NA,NA,"few search results, considered data deficient and states that natural history is unknown by IUCN",
Nycteris major,1,0,building,http://doi.org/10.5281/zenodo.6576920,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994","tree roosting, single record of building roost",
Nycteris nana,1,1,"mines, culverts",http://doi.org/10.5281/zenodo.6576920,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994",tree roosting,
Nycteris parisii,NA,0,,,,,yes,NA,NA,roosting sites unknown,
Nycteris thebaica,1,9,"mine tunnels, military bunkers, fireplaces, buildings, culverts, abandonded wells, pit latrines",https://doi.org/10.2307/3504526,"Nowak 1994, pg 102",,yes,"275, 1","1999, 1994",,
Nycteris tragata,1,0,culverts,https://doi.org/10.3161/150811005775162632,"Nowak 1994, pg 102",,yes,"354, 1","2005, 1994",,
Nycteris vinsoni,0,0,NA,https://www.iucnredlist.org/species/44696/22074669,"Nowak 1994, pg 102",,yes,"355, 1","2019, 1994",baobab tree roosting,
Nycteris woodi,1,0,buildings,https://www.iucnredlist.org/species/14939/22014842,"Nowak 1994, pg 102",,yes,"352, 1","2019, 1994",baobab tree roosting,
Nycticeinops schlieffeni,1,0,"buildings and cellars, roof of huts",https://doi.org/10.1644/798.1,"Nowak 1994, pg 208",,yes,"356, 1","2006, 1994",,
Nycticeius aenobarbus,NA,0,,,,,yes,NA,NA,"Leaving as NA, few search results, not in nowak and IUCN states no known info on history or ecology",
Nycticeius cubanus,1,0,buildings and light posts,http://doi.org/10.5281/zenodo.6397752,"Nowak 1994, pg 207",,yes,"154, 1","2019, 1994",,
Nycticeius humeralis,1,11,Buildings,"Harvey 2011, pg 134","Nowak 1994, pg 207",,yes,"96, 1","2011, 1994",,
Nyctiellus lepidus,1,0,abandoned hotel,http://doi.org/10.5281/zenodo.6397752,,,yes,"154, 1","2019, 1994",,
Nyctimene aello,0,0,NA,https://www.iucnredlist.org/species/14954/22008855,"Nowak 1994, pg 79",,yes,"357, 1","2021, 1994",Foilage roosting,
Nyctimene albiventer,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 79",,yes,"83, 1","2019, 1994",Tree trunk roosting,
Nyctimene cephalotes,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 79",,yes,"83, 1","2019, 1994",Tree roosting,
Nyctimene certans,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 79",,yes,"83, 1","2019, 1994",Foilage roosting,
Nyctimene cyclotis,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,based on genus traits,
Nyctimene draconilla,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traits,
Nyctimene keasti,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traits,
Nyctimene major,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 79",,yes,"83, 1","2019, 1994",Roosting in vegetation,
Nyctimene malaitensis,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traits,
Nyctimene masalai,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traits,
Nyctimene minutus,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Assumed to roost in foilage by IUCN,
Nyctimene rabori,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traits,
Nyctimene robinsoni,0,2,NA,https://doi.org/10.1093/mspecies/sex007,"Nowak 1994, pg 79",,yes,"358, 1","2017, 1994",Foilage roosting,
Nyctimene sanctacrucis,0,0,NA,"Nowak 1994, pg 79",,,yes,1,1994,Based on genus traitsl,
Nyctimene vizcaccia,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 79",,yes,"83, 1","2019, 1994",Roosting in foilage,
Nyctinomops aurispinosus,1,0,attic of a house,https://doi.org/10.2307/3504283,"Nowak 1994, pg 242",,yes,"359, 1 ","1990, 1994",,
Nyctinomops femorosaccus,1,1,"Buildlings, under roof tiles",https://doi.org/10.2307/3504119,"Nowak 1994, pg 242",,yes,"360, 1","1990, 1994",,
Nyctinomops kalinowskii,0,0,NA,https://doi.org/10.12933/therya-19-753,,,yes,361,2019,crevices along dry valleys and hills,
Nyctinomops laticaudatus,1,17,human-made structures and Mayan ruins,https://doi.org/10.1644/0.695.1,,,yes,362,2002,,
Nyctinomops macrotis,1,9,"buildings, school building","Harvey 1022, pg 114",https://doi.org/10.2108/zsj.25.6,,yes,"96, 363","2011, 2008",,
Nyctophilus arnhemensis,1,0,under roof of house,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Nyctophilus bifax,1,5,houses,http://handle.uws.edu.au:8081/1959.7/559207,http://doi.org/10.5281/zenodo.6397752,,yes,"364, 154","2008, 1994",,
Nyctophilus corbeni,0,0,NA,https://doi.org/10.1071/WR15034,,,yes,365,2016,"tree hollows, dead and living trees",
Nyctophilus geoffroyi,1,11,roofs of buildings,https://doi.org/10.1017/S095283690200081X,"Norwak 1994, pg 228",,yes,"366, 1","2002, 1994",,
Nyctophilus gouldi,1,12,buildings,https://www.iucnredlist.org/species/15004/209528660,,,yes,367,2022,,
Nyctophilus heran,NA,0,,,,,yes,NA,NA,"leaving as NA, few search results. IUCN mentions dry savanah habitat but no specific structure.",
Nyctophilus howensis,NA,0,,,,,yes,NA,NA,"Leaving as NA, only skull of one specimen found",
Nyctophilus microdon,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree an cave roosting,
Nyctophilus microtis,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,Foliage roosting,
Nyctophilus nebulosus,NA,0,,,,,yes,NA,NA,"Leaving as NA, only mention of collection in rainforest clearing on IUCN, no specific roosting site metnioned, cited paper Parnaby 2002 states ecology is unkown",
Nyctophilus sherrini,1,0,timber hut,https://doi.org/10.7882/FS.2011.033,,,yes,368,2011,tree hollow roosting,
Nyctophilus shirleyae,NA,0,,,,,yes,NA,NA,"Leaving as NA, no search results containing roosting information, considered to be data deficient by IUCN and statement that little is known from 12 individals",
Nyctophilus timoriensis,0,0,NA,https://doi.org/10.7882/AZ.2009.005,https://doi.org/10.1071/WR15034,,yes,"369, 365","2009, 2016","N. corbeni recently separated from this bat, using N. Corbeni traits, tree roosting",
Nyctophilus walkeri,NA,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,"Australian museum reports roosting in palms and pandanus thickets, confirmed by The Complete Guide to Finding Mammals in Australia",
Otomops formosus,NA,0,,,,,yes,NA,NA,"leaving as NA, habitat is unknown according to IUCN",
Otomops johnstonei,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,,
Otomops madagascariensis,0,1,NA,https://doi.org/10.1007/978-1-4020-6320-6_14,,,yes,258,2007,described as an obligate cave dweller,
Otomops martiensseni,1,3,attics of buildings,http://doi.org/10.5281/zenodo.6418279,https://doi.org/10.1023/A:1016807606593,,yes,"99, 370","2019, 2002",,
Otomops papuensis,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,assume to roost in tree hollows,
Otomops secundus,0,0,NA,https://www.iucnredlist.org/species/15650/209524157,,,yes,371,2021,assumed to roost in tree hollows,
Otomops wroughtoni,0,0,NA,http://doi.org/10.5281/zenodo.6418279,,,yes,99,2019,cave roosting,
Otonycteris hemprichii,1,7,human constructions,https://doi.org/10.2307/3504193,,,yes,372,1995,,
Otopteropus cartilagonodus,NA,0,,,,,yes,NA,NA,"Leaving as NA, only habitat is listed but no specific roosting locations found.",
Paracoelops megalotis,1,0,disused mine,https://doi.org/10.11609/jott.4111.10.8.12018-12026,https://doi.org/10.11646/zootaxa.3505.1.6,,yes,"205, 373","2018, 2012","considered a synonym for Hipposideros pomona, based off a single specimen originally leading to few search results. Paper attached stating the change.",
Paranyctimene raptor,0,0,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 80",,yes,"83, 1","2019, 1994",roosting in vegetation,
Paranyctimene tenax,0,0,NA,http://doi.org/10.5281/zenodo.6448815,,,yes,83,2019,roosting in vegetation,
Parastrellus hesperus,1,0,"Mines, bridges",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Paratriaenops auritus,0,0,NA,https://www.researchgate.net/publication/261837807,,,yes,374,2006,obligate dwelling species,
Paratriaenops furculus,0,2,NA, https://doi.org/10.1111/j.1365-2028.2006.00661.x,,,yes,375,2006,obligate dwelling species,
Paratriaenops pauliani,1,0,houses,https://sciencepress.mnhn.fr/en/periodiques/zoosystema/30/3/une-nouvelle-espece-de-triaenops-mammalia-chiroptera-hipposideridae-de-l-atoll-d-aldabra-ile-picard-seychelles,,,yes,376,2008,accounts of this bat entering buildings,
Penthetor lucasi,0,2,NA,http://doi.org/10.5281/zenodo.6448815,"Nowak 1994, pg 75",,yes,"83, 1","2019, 1994",cave and crevice roosting,
Peropteryx kappleri,1,4,"abandoned coal mines, buildings",https://zoologicalbulletin.de/BzB_Volumes/Volume_42_3_4/225_236_BZB42_3_4_Giral_GloriaE_et_al.pdf,http://doi.org/10.5281/zenodo.3740269,,yes,"377, 144","1991, 2019",,
Peropteryx leucoptera,0,0,NA,https://digitallibrary.amnh.org/handle/2246/1634,,,yes,210,1998,,
Peropteryx macrotis,1,6,bell towers and pre-columbian ruins,https://doi.org/10.1644/0.643.1,"Nowak 1994, pg 98",,yes,"378, 1","2000, 1994",,
Peropteryx pallidoptera,0,0,NA,https://doi.org/10.1206/0003-0090.451.1.1,,,yes,379,2021,cited paper mentions that most are found roosting under fallen trees. Remaining sites were earth banks and tree hollows.,
Peropteryx trinitatis,1,0,houses in Venezuela ,https://www.iucnredlist.org/species/136790/22035534,,,yes,380,2016,,
Pharotis imogene,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,cave roosting,
Philetor brachypterus,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree roosting,
Phoniscus aerosa,NA,0,,,,,yes,NA,NA,"leaving as NA, few search results, IUCN states ecology is unknown",
Phoniscus atrox,0,0,NA,https://doi.org/10.3161/1733-5329(2006)8[83:NROMRA]2.0.CO;2,,,yes,381,2006,abandoned birds nest,
Phoniscus jagorii,0,0,NA,https://doi.org/10.1007/s10531-012-0393-0,,,yes,382,2012,"IUCN only lists habitat type, not structure. Paper cited describes as tree cavity/ foliage roosting, consisten with genus trends",
Phoniscus papuensis,0,0,NA,https://doi.org/10.1111/j.1469-7998.2000.tb00790.x,,,yes,383,2006,"In birds nests, tree branches, and tree hollows",
Phylloderma stenops,NA,1,,,,,yes,NA,NA,"Leaving as NA, few search results, IUCN states roost is undescribed. Norwak 1994 also does not have roosting info. All specimens mist netted near streams",
Phyllonycteris aphylla,0,0,NA,http://doi.org/10.5281/zenodo.6458594,"Nowak 1994, pg 172",,yes,"41, 1","2019, 1994",Cave roosting bats,
Phyllonycteris poeyi,0,1,NA,https://doi.org/10.1644/852.1,"Nowak 1994, pg 172",,yes,"384, 1","2010, 1994",Cave roosting bats,
Phyllops falcatus,1,1,NA,https://doi.org/10.1644/811.1,"Nowak 1994, pg 163",,yes,"385, 1","2008, 1994",Walker mentions that they enter houses but not identified as a roost specifically,
Phyllostomus discolor,0,85,NA,https://doi.org/10.1644/801.1,,,yes,386,2006,tree hollow and cave roosting,
Phyllostomus elongatus,1,1,"culverts, buildings",https://digitalcommons.unl.edu/museummammalogy/113/,"Nowak 1994, pg 136",,yes,"232, 1","2001, 1994",Tree cavities and caves,
Phyllostomus hastatus,1,51,Thatched roofs,https://doi.org/10.1644/0.722.1,"Nowak 1994, pg 136",,yes,"387, 1","2003, 1994",,
Phyllostomus latifolius,0,1,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,cave roosting,
Pipistrellus abramus,1,37,"including narrow spaces in buildings, under rooftiles, parapet caps, small roof covers over windows, inside sliding wings, under bridges",http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Pipistrellus adamsi,0,0,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,rock shelters and tree hollows,
Pipistrellus aero,NA,0,,,,,yes,NA,NA,Leaving as NA. Few search results. Listed as data deficient.,
